Var1,TCGA-BC-A10Q-11A-11R,TCGA-BC-A10R-11A-11R,TCGA-BC-A10T-11A-11R,TCGA-BC-A10U-11A-11R,TCGA-BC-A10W-11A-11R,TCGA-BC-A10X-11A-11R,TCGA-BC-A10Y-11A-11R,TCGA-BC-A10Z-11A-11R,TCGA-BC-A110-11A-11R,TCGA-BC-A216-11A-11R,TCGA-BD-A2L6-11A-21R,TCGA-BD-A3EP-11A-12R,TCGA-DD-A113-11A-12R,TCGA-DD-A114-11A-12R,TCGA-DD-A116-11A-12R,TCGA-DD-A118-11A-11R,TCGA-DD-A119-11A-11R,TCGA-DD-A11A-11A-11R,TCGA-DD-A11B-11A-11R,TCGA-DD-A11C-11A-11R,TCGA-DD-A11D-11A-12R,TCGA-DD-A1EB-11A-11R,TCGA-DD-A1EC-11A-11R,TCGA-DD-A1EE-11A-11R,TCGA-DD-A1EG-11A-11R,TCGA-DD-A1EH-11A-11R,TCGA-DD-A1EI-11A-11R,TCGA-DD-A1EJ-11A-11R,TCGA-DD-A1EL-11A-11R,TCGA-DD-A39V-11A-11R,TCGA-DD-A39W-11A-11R,TCGA-DD-A39X-11A-11R,TCGA-DD-A39Z-11A-21R,TCGA-DD-A3A1-11A-11R,TCGA-DD-A3A2-11A-11R,TCGA-DD-A3A3-11A-11R,TCGA-DD-A3A4-11A-11R,TCGA-DD-A3A5-11A-11R,TCGA-DD-A3A6-11A-11R,TCGA-DD-A3A8-11A-11R,TCGA-EP-A12J-11A-11R,TCGA-EP-A26S-11A-12R,TCGA-EP-A3RK-11A-11R,TCGA-ES-A2HT-11A-11R,TCGA-FV-A23B-11A-11R,TCGA-FV-A2QR-11A-11R,TCGA-FV-A3I0-11A-11R,TCGA-FV-A3I1-11A-11R,TCGA-FV-A3R2-11A-11R,TCGA-G3-A3CH-11A-11R
ENSG00000158887.14,0.20911746,0.52363484,0.22238407,0.59620824,0.46080057,0.24650659,0.64667793,0.96378514,0.3960429,0.0926316,0.86445478,0.72687053,1.73751607,1.96721768,0.40374427,0.52832683,0.20408562,0.77039826,0.24765955,0.23415442,0.35076564,0.43878315,0.45684986,1.0894001,0.4250876,0.42068666,0.28880136,0.52192419,0.53265106,0.27549979,0.23158704,0.53911607,0.65308188,0.98109587,0.46597435,0.57656395,1.29114864,0.44031508,0.31934759,0.08554771,0.92579042,0.37150004,0.19662718,3.93519664,1.08648112,0.78909275,0.4396602,0.78708856,0.83336202,0.20255254
ENSG00000160211.14,0.8976360000000001,1.40132885,1.37955093,1.55811446,1.67377715,0.92712227,1.96070492,1.94936187,1.03000776,1.10729611,4.76049365,1.62576986,1.34352589,1.59859245,0.85151192,0.86933909,1.15203995,1.40289084,1.0446467,0.84729159,1.31103725,1.1108695,1.03122566,1.66259421,1.46106393,0.67075183,1.1511777,1.2873543,0.87935082,0.92901121,0.81103997,0.75760389,0.59736126,1.08319096,0.82433305,1.7901021,2.35242028,0.66591869,0.28437347,1.32484792,1.29036564,0.92078367,0.89366982,1.61499027,1.6285935,2.38915813,1.03606053,1.08042128,2.06599911,1.29906968
ENSG00000160339.14,44.89382422,40.75113315,44.28841974,24.97273939,36.41764798,39.80460094,65.65179893,37.92634297,73.23312507,47.01912956,35.88148086,40.63423548,20.11086252,47.85227359,24.798499,53.83235606,67.50798666,53.16544847,17.92982179,37.03572849,75.95264537,46.83221488,39.29473134,45.97519625,51.55141489,44.40779561,24.55782771,66.22998534,53.71193655,41.50925249,46.63605755,35.23766489,6.02222434,77.64389535,36.82919435,90.06419004,110.76659937,15.53438509,1.17140443,25.33636908,20.64496381,42.80085702,29.18107223,38.47742633,29.33653209,21.53699051,18.24653831,57.25053883,57.37565437,32.05250912
ENSG00000162366.6,0.6945755,0.65716635,0.75707312,3.45158923,1.53107678,0.49232748,1.43413153,8.08951356,0.58034164,2.06974957,3.81648466,1.6184707,1.2282165,1.22047086,1.60212089,0.6783326,0.85596745,0.57699508,6.59940834,0.18886168,0.40416668,1.23236125,0.60685131,5.12317909,3.06676977,0.56140845,0.76688099,1.14195132,20.46659112,0.81203778,0.52560215,0.7876099,0.8804343000000001,6.29827296,1.20268943,2.98953374,1.76970003,0.81070183,1.59451718,2.97576766,1.72353739,0.79496433,1.02445414,34.42437782,14.24023151,55.1419611,0.70923253,0.69667638,5.44958719,1.55660595
ENSG00000162444.11,2.66128193,2.79702568,2.78173814,1.7737462,3.16497162,1.86477102,1.47074678,3.45042723,1.96005541,3.10918369,6.39307618,1.00751552,1.24543639,0.77127537,0.81513943,4.72049115,2.24650626,1.82933759,2.9022448,2.07280951,2.11506075,1.9724698,1.8329858,3.16906763,1.77966704,1.03331411,1.77342514,3.35966098,0.85343449,1.97875553,1.49231942,0.78259608,2.06272612,5.1786175000000005,1.48857013,3.43960343,7.38916566,0.50487929,0.45272435,2.11640352,1.45582733,1.90858378,1.68960568,1.29389422,2.73646113,2.52863094,1.88254933,1.07405053,2.60046669,2.22522426
ENSG00000162645.11,1.49472312,7.00656897,2.05730399,2.43338986,4.08608285,1.78272879,3.03232554,9.6525859,5.2479554,2.60167,9.99902273,5.2152895,2.38869732,6.19244656,1.96915229,1.75283961,1.9444404,5.48763022,1.65078539,1.3043803,4.09007327,1.72949806,5.44645827,5.42148397,5.29689141,1.53047899,1.42147322,14.95037495,1.9513679,2.90070035,1.01642545,1.583045,1.68389452,8.04067575,1.7961156000000005,4.02617431,4.89189611,0.79338801,0.52975267,1.27557336,2.9550062,2.97356053,1.17658378,9.22272077,3.85491373,9.62802676,3.38647155,1.88175972,5.24370084,2.11880333
ENSG00000163191.5,27.50442903,34.94457169,32.94831231,43.94770419,33.41279783,19.5397385,41.95326836,60.90071325,21.463272,41.03048977,106.553018,42.75125442,24.33438352,48.57276783,30.29019563,29.80518114,25.16065994,39.08695878,26.5903554,17.23069293,33.41852247,24.47544961,27.08607561,34.66885426,66.66685089,20.47338011,24.80411805,40.14292176,33.63126404,21.05707149,14.96070879,19.01693782,15.20518681,48.05083538,22.34500962,49.90855614,46.77993853,10.1701454,10.31812073,25.80379181,26.68645357,19.69006818,15.24617511,79.18442377,47.32184499,128.43282561,20.83676026,18.18916425,46.80671919,35.37251228
ENSG00000163431.12,0.34522825,0.30322829,0.42219933,1.63012498,0.63170008,0.9869309,1.32567211,0.94192068,0.57442764,0.37684805,1.86329425,1.08160128,1.73141985,0.83216553,0.46874555,0.30705184,0.31439567,0.80744685,1.99386802,0.35172831,0.52689249,0.3718911,1.59907762,0.50847135,1.03055763,0.95841553,0.7975178,2.39210962,1.03559342,0.37601052,0.99354293,0.3971328,1.08047142,1.1286861,0.66884105,1.21490221,2.18805644,0.33338261,0.57741518,0.65996621,1.38457908,0.5901474,0.67704009,1.2522864,1.72422595,1.47165255,0.29810755,0.95576906,0.59300233,0.97450898
ENSG00000163931.14,5.19322963,6.09392205,6.066876799999998,4.81369527,8.94833243,4.67685406,8.437139199999999,7.54864176,6.05296818,5.10171968,9.86684833,9.65644338,13.57272838,9.34997978,5.55277182,4.75676748,4.80892445,5.98200321,6.12213632,6.58257151,6.33338167,8.13339415,5.00355823,8.09070267,8.35949314,5.64611005,6.19240689,7.88570187,7.24774163,7.82263047,4.82730002,8.11300499,6.30901518,17.20890595,4.76227896,6.00404927,20.87135014,5.02967475,6.85438778,9.92601288,7.21261814,6.64046909,8.04608136,11.08637301,9.55714764,8.70018401,6.71435097,6.10174271,6.49482127,5.94006101
ENSG00000164266.9,50.07230538,5.13903232,0.92684165,4.23308944,64.0289424,14.89737359,0.39113914,4.35320102,0.26314049,13.14461298,1.25813216,1.32951204,56.89778159,0.21366412,0.041235900000000006,0.12815495,1.28315801,92.18888117,1.08133516,6.94686519,0.06544951,3.2429281000000003,84.59306707,3.28165518,2.39894307,0.10018957,0.07642237,4.28454912,16.04450778,5.88511519,5.17836027,0.72651152,40.56254055,255.09059574,39.19889638,0.66162511,278.13798143,5.55392033,17.537706699999998,0.24901322,0.0769943,1.45791355,0.60967134,6.89458607,3.71812251,0.14194324,0.92290937,2.30408332,8.77707495,0.46141993
