,ensembl
392,ENSG00000154065.15
393,ENSG00000154080.11
394,ENSG00000154144.11
395,ENSG00000154217.13
396,ENSG00000154277.11
397,ENSG00000154328.14
398,ENSG00000154447.13
399,ENSG00000154822.14
400,ENSG00000155393.11
401,ENSG00000155542.10
402,ENSG00000155666.10
403,ENSG00000155957.15
404,ENSG00000156006.4
405,ENSG00000156239.10
406,ENSG00000156414.17
407,ENSG00000157005.3
408,ENSG00000157150.4
409,ENSG00000157349.14
410,ENSG00000157379.12
411,ENSG00000157388.12
412,ENSG00000157680.14
413,ENSG00000157734.12
414,ENSG00000158089.13
415,ENSG00000158164.6
416,ENSG00000158201.8
417,ENSG00000158292.6
418,ENSG00000158301.17
419,ENSG00000158321.14
420,ENSG00000158483.14
421,ENSG00000158813.16
422,ENSG00000159166.12
423,ENSG00000159167.10
424,ENSG00000159176.12
425,ENSG00000159208.14
426,ENSG00000159251.6
427,ENSG00000159842.13
428,ENSG00000160050.13
429,ENSG00000160194.16
430,ENSG00000160284.13
431,ENSG00000160285.13
432,ENSG00000160318.5
433,ENSG00000160352.14
434,ENSG00000160685.12
435,ENSG00000161513.10
436,ENSG00000161649.11
437,ENSG00000162174.11
438,ENSG00000162222.12
439,ENSG00000162373.11
440,ENSG00000162496.7
441,ENSG00000162545.5
442,ENSG00000162654.8
443,ENSG00000162746.13
444,ENSG00000162775.13
445,ENSG00000162909.16
446,ENSG00000163017.12
447,ENSG00000163072.13
448,ENSG00000163659.11
449,ENSG00000163687.12
450,ENSG00000163702.17
451,ENSG00000163703.16
452,ENSG00000163814.6
453,ENSG00000163815.5
454,ENSG00000163932.12
455,ENSG00000163945.14
456,ENSG00000163956.9
457,ENSG00000164220.6
458,ENSG00000164318.16
459,ENSG00000164442.9
460,ENSG00000164488.10
461,ENSG00000164742.13
462,ENSG00000164776.8
463,ENSG00000164855.14
464,ENSG00000164938.12
465,ENSG00000164978.16
466,ENSG00000165312.6
467,ENSG00000165355.7
468,ENSG00000165695.8
469,ENSG00000165985.9
470,ENSG00000166016.5
471,ENSG00000166035.9
472,ENSG00000166405.13
473,ENSG00000166435.14
474,ENSG00000166821.7
475,ENSG00000166833.18
476,ENSG00000166847.8
477,ENSG00000166960.15
478,ENSG00000166965.11
479,ENSG00000167264.16
480,ENSG00000167380.15
481,ENSG00000167703.13
482,ENSG00000167840.12
483,ENSG00000167874.6
484,ENSG00000168038.9
485,ENSG00000168062.8
486,ENSG00000168209.4
487,ENSG00000168280.15
488,ENSG00000168389.16
489,ENSG00000168546.9
490,ENSG00000168556.6
491,ENSG00000169093.13
492,ENSG00000169242.10
493,ENSG00000169245.5
494,ENSG00000169248.11
495,ENSG00000169891.16
496,ENSG00000169919.15
497,ENSG00000170011.12
498,ENSG00000170099.5
499,ENSG00000170370.11
500,ENSG00000170425.3
501,ENSG00000170502.11
502,ENSG00000170631.13
503,ENSG00000171174.12
504,ENSG00000171388.11
505,ENSG00000171490.11
506,ENSG00000171492.13
507,ENSG00000171552.11
508,ENSG00000171574.16
509,ENSG00000171612.6
510,ENSG00000171747.7
511,ENSG00000171763.16
512,ENSG00000171793.12
513,ENSG00000171885.12
514,ENSG00000171903.15
515,ENSG00000171970.11
516,ENSG00000172059.9
517,ENSG00000172264.15
518,ENSG00000172296.11
519,ENSG00000172339.9
520,ENSG00000172497.7
521,ENSG00000172748.11
522,ENSG00000172893.14
523,ENSG00000173212.4
524,ENSG00000173226.15
525,ENSG00000173258.11
526,ENSG00000173540.11
527,ENSG00000173638.17
