ensembl,TCGA-BC-A10Q-11A-11R,TCGA-BC-A10R-11A-11R,TCGA-BC-A10T-11A-11R,TCGA-BC-A10U-11A-11R,TCGA-BC-A10W-11A-11R,TCGA-BC-A10X-11A-11R,TCGA-BC-A10Y-11A-11R,TCGA-BC-A10Z-11A-11R,TCGA-BC-A110-11A-11R,TCGA-BC-A216-11A-11R,TCGA-BD-A2L6-11A-21R,TCGA-BD-A3EP-11A-12R,TCGA-DD-A113-11A-12R,TCGA-DD-A114-11A-12R,TCGA-DD-A116-11A-12R,TCGA-DD-A118-11A-11R,TCGA-DD-A119-11A-11R,TCGA-DD-A11A-11A-11R,TCGA-DD-A11B-11A-11R,TCGA-DD-A11C-11A-11R,TCGA-DD-A11D-11A-12R,TCGA-DD-A1EB-11A-11R,TCGA-DD-A1EC-11A-11R,TCGA-DD-A1EE-11A-11R,TCGA-DD-A1EG-11A-11R,TCGA-DD-A1EH-11A-11R,TCGA-DD-A1EI-11A-11R,TCGA-DD-A1EJ-11A-11R,TCGA-DD-A1EL-11A-11R,TCGA-DD-A39V-11A-11R,TCGA-DD-A39W-11A-11R,TCGA-DD-A39X-11A-11R,TCGA-DD-A39Z-11A-21R,TCGA-DD-A3A1-11A-11R,TCGA-DD-A3A2-11A-11R,TCGA-DD-A3A3-11A-11R,TCGA-DD-A3A4-11A-11R,TCGA-DD-A3A5-11A-11R,TCGA-DD-A3A6-11A-11R,TCGA-DD-A3A8-11A-11R,TCGA-EP-A12J-11A-11R,TCGA-EP-A26S-11A-12R,TCGA-EP-A3RK-11A-11R,TCGA-ES-A2HT-11A-11R,TCGA-FV-A23B-11A-11R,TCGA-FV-A2QR-11A-11R,TCGA-FV-A3I0-11A-11R,TCGA-FV-A3I1-11A-11R,TCGA-FV-A3R2-11A-11R,TCGA-G3-A3CH-11A-11R
ENSG00000039537.12,160.72024157,149.23606566,130.4889195,123.33079817,95.25221859,165.73400589,173.07257208,84.60709668,144.80001266,153.77952340000004,95.92010114,125.4647031,136.55962823,91.70731072,104.52800818,129.57183429999998,208.13628661,155.51239363,102.45444859,164.68711857,131.28219807,168.96801384,255.16691333,179.50160811,87.39558425,111.06354517,109.00001272,161.49113861,85.40283088,136.4555108,145.55556461,132.00525894,123.82800417,80.07207835,152.01527438,141.4336351,116.77766322,165.14037642,66.83759808,110.04947056,113.92151884,128.30382514,134.95593886,77.81821062,109.69125615,94.49369802,153.9399079,156.48823074,112.45432324,103.09329269
ENSG00000042753.10,26.05494163,22.29055936,23.15342879,27.94643886,38.37026239,22.44299085,20.94597179,23.4943985,24.28063774,25.49725789,29.60952553,25.34220833,24.78933492,28.85719558,26.86141501,34.17164654,25.96325548,21.16057281,25.07796255,26.70749369,34.39172296,23.2956777,21.18214795,26.48503641,30.88098307,27.65274165,28.28457578,23.55848873,28.17335514,29.51180475,30.15279619,25.24872003,25.32376734,60.44213429,25.52769585,31.0451656,41.05904384,28.83860345,38.88806587,39.90349222,31.21296828,26.93534162,25.28760438,31.98789654,27.02265073,28.11996783,24.13314141,19.75194847,32.75858668,28.58781705
ENSG00000047457.12,181.7963621,345.7427388000001,128.51571991,133.89791424,110.64194647,209.20386705,221.18574224,134.83202196,191.8364563,203.79699727,130.61543635,162.93498015,197.3857937,218.97872525,166.05052281,144.08288636,409.58516878,438.94549499,171.48150662,223.89972448,186.13110129,328.56523713,417.98551889,330.16187105,126.81261932,92.84020621,133.09926552,206.39111033,174.28769497,186.5845024,211.17056941,172.06347451,156.07690895,61.5329475,173.34632832,169.11597618,95.90942586,172.67581465,44.19896746,44.97581395,147.90199205,147.10569244,158.42430333,272.86996901,164.43609349,219.3003271,175.47097884,208.20827876,109.78129104,107.66795342
ENSG00000048162.18,3.58566599,4.89960102,5.13524129,6.78535251,7.23252284,2.39858516,2.93286025,7.94774378,7.20551899,3.21276647,3.46419389,3.7702625,2.91659015,3.4583427,2.9480356,4.08043741,2.43915263,4.16191082,2.15824249,2.30453869,2.65347244,2.82249624,1.68024828,2.72666047,5.53021273,3.99513624,2.5737144,3.38964889,3.64849602,3.17039955,2.33452569,2.60481375,3.13960214,3.74876402,2.25528282,4.95686003,6.44654359,3.37603748,3.54112071,3.10478634,3.47389062,2.61125089,2.23908734,7.29426824,2.88407826,4.711062,6.35704622,2.15410554,3.37881609,3.89066678
ENSG00000053501.11,5.78425805,5.76826743,5.53516062,5.01145819,7.16371632,4.7792032,5.58853528,8.88567139,7.40737584,5.58805606,6.33592261,5.80512956,4.73104301,3.75929324,4.55019773,6.54262792,4.27484746,4.14775586,4.52739404,5.39431687,5.17996163,5.07851797,4.22360698,4.89368701,7.22555068,5.53027787,4.79219532,6.81729364,4.59231236,5.30738049,6.45443769,6.11556743,7.17546516,10.43166032,6.49807972,10.40401194,10.1242816,6.45362273,8.14923562,6.83884389,4.16009968,6.60690244,5.19637612,6.0836378,5.49639477,7.84023953,4.87703127,5.25430403,10.13122997,5.95381237
ENSG00000054148.16,12.72007931,7.71556333,7.84761713,9.94761324,18.30411539,9.35621838,10.67231165,18.37388093,13.00000489,10.39726592,14.16528328,11.06454551,9.10426549,11.3875555,14.04578725,14.84207926,7.53756569,7.45899071,13.89904757,13.40586589,13.47220616,12.23015337,6.47313411,9.22499468,17.58525217,12.13186125,13.89256375,14.63777135,14.4347962,15.687114499999998,13.25022162,12.99355952,11.2792143,30.39717162,12.62538798,14.71207911,22.90210475,12.17172808,18.80418473,21.36350832,10.62110685,12.50773059,12.25733641,17.14713464,15.28299896,21.23032862,10.51826611,10.50534857,18.31988958,13.4739836
ENSG00000055955.14,5.23132583,4.82208167,4.08999123,3.29169825,6.95829275,4.80045054,4.53082638,9.23330602,6.508794,5.82353823,5.71468269,4.03246007,4.98123589,5.85898163,4.93026469,2.98637179,5.52760116,5.11336197,3.67537395,5.76068159,4.77409997,4.51253222,5.71425141,6.199472599999999,4.12936841,4.60605473,2.81365022,5.1364136,4.75814113,4.89609681,3.84411673,6.65904167,8.54100352,12.53830512,4.8569745000000015,6.96115346,5.55104644,6.56226278,5.95268123,4.32954151,2.64433581,3.76465896,4.15693087,5.84396772,4.8115554000000005,6.25521718,4.78142079,5.44605759,6.68245882,3.84112991
ENSG00000055957.9,557.34675023,499.24658664,456.16375571,415.14440031,273.86470301,448.04092623,489.77664341,355.09808837,579.62948479,421.98913201,317.1257827,512.30435088,394.0365967,226.97900913,426.37795587,318.82074667,569.38704017,520.30435955,415.39288758,527.67791723,312.81261641,626.49708229,644.20044033,466.01814677,443.52894182,377.00307318,505.31713866,465.72307878,363.09697547,520.38989894,611.81833176,586.6793765,507.84911481,490.65452747,525.89024448,544.49050743,428.22374561,638.44545774,414.26386821,540.8644417,266.71665302,529.14172541,453.88818373,226.972176,454.32991512,391.28251582,617.14256791,644.97545601,512.15025889,504.84966119
ENSG00000057593.12,61.95246045,50.79869972,33.52935035,43.74978791,48.15762441,60.25647378,35.47011069,26.09256818,40.46212303,32.39161361,26.87842352,47.65110391,42.47840603,60.14901235,52.38133061,30.79404629,40.23705022,25.02441645,48.80697499,60.2257137,56.20994076,62.7641045,38.83183621,39.16338794,36.90030584,44.39083251,59.83096663,48.18367479,42.78434420000001,28.15680275,67.03360073,51.27138302,52.53491323,32.18156412,46.64646717,33.87680468,39.39143773,47.57813387,53.55574420000001,58.43976909,57.13342837,34.85956297,41.39516168,35.65635094,45.31725406,41.63777222,51.68487065,47.96900367,40.4904219,53.93432275
ENSG00000059769.18,9.50437099,11.22816998,12.4191025,10.73750602,11.53560452,13.82534025,10.38821555,9.90327981,11.86860256,10.39050111,8.52052901,11.88798192,13.87904326,10.19225788,13.44599753,15.98913957,9.38358227,6.33543433,10.14064415,8.31162531,12.11377895,12.63200466,10.12357533,9.14798063,13.48376503,12.08594361,9.75345732,10.12590634,8.46462364,8.26856108,13.81278395,11.72532294,9.27489916,7.74095429,17.31664834,10.71320238,9.8407914,11.46121789,11.48231189,6.09640519,10.82892487,15.37252284,13.15224215,8.82823172,9.10484055,6.9715159,11.49346941,15.30236469,13.89038588,12.4922795
