,ensembl
505,ENSG00000167113.9
506,ENSG00000167315.16
507,ENSG00000167397.13
508,ENSG00000167468.15
509,ENSG00000167526.12
510,ENSG00000167588.11
511,ENSG00000167685.13
512,ENSG00000167700.7
513,ENSG00000167701.12
514,ENSG00000167711.12
515,ENSG00000167740.8
516,ENSG00000167969.11
517,ENSG00000168061.12
518,ENSG00000168237.16
519,ENSG00000168273.6
520,ENSG00000168306.11
521,ENSG00000168653.9
522,ENSG00000168701.17
523,ENSG00000169047.5
524,ENSG00000169083.14
525,ENSG00000169189.15
526,ENSG00000169252.5
527,ENSG00000169562.9
528,ENSG00000169733.10
529,ENSG00000169738.6
530,ENSG00000169762.15
531,ENSG00000169891.16
532,ENSG00000169976.6
533,ENSG00000170185.8
534,ENSG00000170310.13
535,ENSG00000170365.8
536,ENSG00000170430.9
537,ENSG00000170458.12
538,ENSG00000170634.11
539,ENSG00000170889.12
540,ENSG00000170906.14
541,ENSG00000171174.12
542,ENSG00000171222.9
543,ENSG00000171234.12
544,ENSG00000171236.9
545,ENSG00000171428.12
546,ENSG00000171443.6
547,ENSG00000171444.16
548,ENSG00000171503.10
549,ENSG00000171557.15
550,ENSG00000171560.13
551,ENSG00000171564.10
552,ENSG00000171759.7
553,ENSG00000171858.16
554,ENSG00000171863.11
555,ENSG00000171903.15
556,ENSG00000172216.5
557,ENSG00000172340.13
558,ENSG00000172345.12
559,ENSG00000172425.9
560,ENSG00000172456.15
561,ENSG00000172586.7
562,ENSG00000172590.17
563,ENSG00000172809.11
564,ENSG00000172922.7
565,ENSG00000172955.16
566,ENSG00000173141.4
567,ENSG00000173156.5
568,ENSG00000173163.9
569,ENSG00000173276.12
570,ENSG00000173281.4
571,ENSG00000173457.9
572,ENSG00000173486.11
573,ENSG00000173531.14
574,ENSG00000173599.12
575,ENSG00000173992.7
576,ENSG00000174010.9
577,ENSG00000174567.7
578,ENSG00000174886.11
579,ENSG00000174917.7
580,ENSG00000174990.4
581,ENSG00000174992.7
582,ENSG00000175003.11
583,ENSG00000175189.3
584,ENSG00000175336.9
585,ENSG00000175416.11
586,ENSG00000175600.14
587,ENSG00000175756.12
588,ENSG00000175806.13
589,ENSG00000175854.10
590,ENSG00000176340.3
591,ENSG00000176410.7
592,ENSG00000176422.12
593,ENSG00000176641.9
594,ENSG00000176720.4
595,ENSG00000176894.8
596,ENSG00000176919.10
597,ENSG00000176974.16
598,ENSG00000177556.10
599,ENSG00000177600.7
600,ENSG00000177700.5
601,ENSG00000178127.11
602,ENSG00000178449.7
603,ENSG00000178537.8
604,ENSG00000178896.6
605,ENSG00000179085.7
606,ENSG00000179271.2
607,ENSG00000179761.10
608,ENSG00000179918.16
609,ENSG00000179967.11
610,ENSG00000180210.13
611,ENSG00000180346.3
612,ENSG00000180432.5
613,ENSG00000180530.8
614,ENSG00000180767.8
615,ENSG00000180992.6
616,ENSG00000181192.10
617,ENSG00000181513.13
618,ENSG00000181924.6
619,ENSG00000182154.7
620,ENSG00000182165.16
621,ENSG00000182196.12
622,ENSG00000182327.7
623,ENSG00000182551.12
624,ENSG00000182774.9
625,ENSG00000182871.13
626,ENSG00000182899.13
627,ENSG00000182902.12
628,ENSG00000182919.13
629,ENSG00000183011.12
630,ENSG00000183044.10
631,ENSG00000183048.10
632,ENSG00000183172.8
633,ENSG00000183281.13
634,ENSG00000183549.9
635,ENSG00000183617.4
636,ENSG00000183648.8
637,ENSG00000183747.10
638,ENSG00000183978.7
639,ENSG00000184076.12
640,ENSG00000184232.7
641,ENSG00000184260.5
642,ENSG00000184470.18
643,ENSG00000184500.13
644,ENSG00000185201.15
645,ENSG00000185432.11
646,ENSG00000185608.7
647,ENSG00000185813.9
648,ENSG00000185875.11
649,ENSG00000186010.17
650,ENSG00000186115.11
651,ENSG00000186212.3
652,ENSG00000186480.11
653,ENSG00000186529.13
654,ENSG00000187045.15
655,ENSG00000187048.11
656,ENSG00000187051.7
657,ENSG00000187097.11
658,ENSG00000187546.12
659,ENSG00000187630.13
660,ENSG00000187758.6
661,ENSG00000187824.7
662,ENSG00000188488.12
663,ENSG00000188641.11
664,ENSG00000188846.12
665,ENSG00000196177.11
666,ENSG00000196455.6
667,ENSG00000196465.9
668,ENSG00000196616.11
669,ENSG00000197165.9
670,ENSG00000197180.2
671,ENSG00000197249.11
672,ENSG00000197272.2
673,ENSG00000197312.10
674,ENSG00000197329.10
675,ENSG00000197442.9
676,ENSG00000197444.8
677,ENSG00000197448.12
678,ENSG00000197496.5
679,ENSG00000197728.8
680,ENSG00000197756.8
681,ENSG00000198099.7
682,ENSG00000198130.13
683,ENSG00000198146.4
684,ENSG00000198258.9
685,ENSG00000198546.13
686,ENSG00000198670.10
687,ENSG00000198695.2
688,ENSG00000198712.1
689,ENSG00000198721.11
690,ENSG00000198727.2
691,ENSG00000198732.9
692,ENSG00000198734.9
693,ENSG00000198736.10
694,ENSG00000198763.3
695,ENSG00000198786.2
696,ENSG00000198804.2
697,ENSG00000198816.5
698,ENSG00000198840.2
699,ENSG00000198886.2
700,ENSG00000198899.2
701,ENSG00000198918.7
702,ENSG00000198931.9
703,ENSG00000198937.8
704,ENSG00000198938.2
705,ENSG00000198948.10
706,ENSG00000204219.8
707,ENSG00000204228.3
708,ENSG00000204435.12
709,ENSG00000204444.9
710,ENSG00000204653.8
711,ENSG00000204922.4
712,ENSG00000205106.4
713,ENSG00000205155.6
714,ENSG00000205213.12
715,ENSG00000205403.11
716,ENSG00000205544.3
717,ENSG00000212907.2
718,ENSG00000213261.3
719,ENSG00000213398.6
720,ENSG00000213512.1
721,ENSG00000213563.5
722,ENSG00000213619.8
723,ENSG00000213741.7
724,ENSG00000213996.11
725,ENSG00000214026.9
726,ENSG00000214253.7
727,ENSG00000214274.8
728,ENSG00000214530.6
729,ENSG00000215644.8
730,ENSG00000220749.4
731,ENSG00000221916.3
732,ENSG00000221983.6
733,ENSG00000223723.1
734,ENSG00000223803.1
735,ENSG00000224916.7
736,ENSG00000226360.5
737,ENSG00000228253.1
738,ENSG00000228265.4
739,ENSG00000228278.3
740,ENSG00000228300.12
741,ENSG00000228474.4
742,ENSG00000229314.5
743,ENSG00000229833.8
744,ENSG00000231747.1
745,ENSG00000232112.3
746,ENSG00000232573.1
747,ENSG00000233927.4
748,ENSG00000234498.3
749,ENSG00000235065.1
750,ENSG00000235510.1
751,ENSG00000237310.1
752,ENSG00000240891.5
753,ENSG00000241399.5
754,ENSG00000242612.5
755,ENSG00000243056.1
756,ENSG00000243649.7
757,ENSG00000243955.4
758,ENSG00000248487.7
759,ENSG00000250056.4
760,ENSG00000250479.7
761,ENSG00000250799.8
762,ENSG00000254211.4
763,ENSG00000255198.4
764,ENSG00000255974.5
765,ENSG00000256053.6
766,ENSG00000257017.7
767,ENSG00000257704.3
768,ENSG00000257727.4
769,ENSG00000258818.3
770,ENSG00000259974.2
771,ENSG00000260001.5
772,ENSG00000260325.1
773,ENSG00000262814.5
774,ENSG00000266964.4
775,ENSG00000267855.4
776,ENSG00000269313.4
777,ENSG00000270673.1
778,ENSG00000272523.1
779,ENSG00000277791.3
780,ENSG00000277972.1
781,ENSG00000280587.1
782,mir100
783,mir101-1
784,mir101-2
785,mir10a
786,mir10b
787,mir125b1
788,mir125b2
789,mir126
790,mir1295b
791,mir1307
792,mir139
793,mir140
794,mir142
795,mir143
796,mir146b
797,mir17
798,mir182
799,mir192
800,mir194-1
801,mir194-2
802,mir199a1
803,mir199a2
804,mir199b
805,mir210
806,mir22
807,mir23a
808,mir23b
809,mir24-1
810,mir25
811,mir26a1
812,mir26a2
813,mir26b
814,mir28
815,mir29c
816,mir30a
817,mir30d
818,mir30e
819,mir375
820,mir379
821,mir455
822,mir483
823,mir532
824,mir5588
825,mir675
826,mir6815
827,mir885
828,mir93
829,mir99a
830,mir99b
831,mirlet7a1
832,mirlet7a2
833,mirlet7a3
834,mirlet7b
835,mirlet7c
836,mirlet7e
837,mirlet7f1
838,mirlet7f2
